ang_vel_x,ang_vel_y,ang_vel_z,proj_grav_x,proj_grav_y,proj_grav_z,vel_cmd_x,vel_cmd_y,vel_cmd_z,jpos_Joint_l_hip_yaw,jpos_Joint_l_hip_roll,jpos_Joint_l_hip_pitch,jpos_Joint_r_hip_yaw,jpos_Joint_r_hip_roll,jpos_Joint_r_hip_pitch,jpos_Joint_l_knee_pitch,jpos_Joint_r_knee_pitch,jpos_Joint_l_ankle_pitch,jpos_Joint_l_ankle_roll,jpos_Joint_r_ankle_pitch,jpos_Joint_r_ankle_roll,jpos_Joint_l_shoulder_pitch,jpos_Joint_l_shoulder_roll,jpos_Joint_l_shoulder_yaw,jpos_Joint_r_shoulder_pitch,jpos_Joint_r_shoulder_roll,jpos_Joint_r_shoulder_yaw,jpos_Joint_l_elbow_pitch,jpos_Joint_r_elbow_pitch,jpos_Joint_neck_pitch,jpos_Joint_neck_yaw,jpos_Joint_abdomen_yaw,jvel_Joint_l_hip_yaw,jvel_Joint_l_hip_roll,jvel_Joint_l_hip_pitch,jvel_Joint_r_hip_yaw,jvel_Joint_r_hip_roll,jvel_Joint_r_hip_pitch,jvel_Joint_l_knee_pitch,jvel_Joint_r_knee_pitch,jvel_Joint_l_ankle_pitch,jvel_Joint_l_ankle_roll,jvel_Joint_r_ankle_pitch,jvel_Joint_r_ankle_roll,jvel_Joint_l_shoulder_pitch,jvel_Joint_l_shoulder_roll,jvel_Joint_l_shoulder_yaw,jvel_Joint_r_shoulder_pitch,jvel_Joint_r_shoulder_roll,jvel_Joint_r_shoulder_yaw,jvel_Joint_l_elbow_pitch,jvel_Joint_r_elbow_pitch,jvel_Joint_neck_pitch,jvel_Joint_neck_yaw,jvel_Joint_abdomen_yaw,act_Joint_l_hip_yaw,act_Joint_l_hip_roll,act_Joint_l_hip_pitch,act_Joint_r_hip_yaw,act_Joint_r_hip_roll,act_Joint_r_hip_pitch,act_Joint_l_knee_pitch,act_Joint_r_knee_pitch,act_Joint_l_ankle_pitch,act_Joint_l_ankle_roll,act_Joint_r_ankle_pitch,act_Joint_r_ankle_roll,act_Joint_l_shoulder_pitch,act_Joint_l_shoulder_roll,act_Joint_l_shoulder_yaw,act_Joint_r_shoulder_pitch,act_Joint_r_shoulder_roll,act_Joint_r_shoulder_yaw,act_Joint_l_elbow_pitch,act_Joint_r_elbow_pitch,act_Joint_neck_pitch,act_Joint_neck_yaw,act_Joint_abdomen_yaw
0.46897894,-0.27342916,-0.26241234,0.00260978,0.00450849,-0.99998647,0.00000000,0.00000000,0.00000000,-0.00240000,-0.00760000,-0.11200000,0.01170000,-0.02000000,-0.13180001,0.35159999,0.35170001,0.18030001,-0.01380000,0.15100001,0.00110000,-0.03710000,-0.01040000,0.00890000,-0.07110000,-0.00550000,-0.00110000,0.00000000,-0.00160000,-0.03140000,-0.00420000,0.02070000,-0.65079999,0.50330001,0.27050000,0.53090000,0.00540000,-0.57620001,0.60780001,0.58060002,0.28259999,0.31560001,-0.82440001,-0.68419999,-0.14460000,-0.20479999,0.08430000,-0.62410003,0.09280000,0.04500000,-0.00060000,0.20660000,-0.37760001,-0.06580000,0.44440001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.30877304,-0.14662018,-0.23724478,0.00646181,0.01341709,-0.99988914,0.00000000,0.00000000,0.00000000,0.00510000,-0.00050000,-0.10230000,-0.00130000,-0.01950000,-0.14340000,0.34709996,0.35079998,0.17880000,-0.00990000,0.13820000,-0.01110000,-0.03980000,-0.01480000,0.00960000,-0.07400000,-0.00409999,-0.00160000,-0.00170000,-0.00600000,-0.03270000,-0.00430000,0.01530000,0.66759998,0.49990001,0.54939997,-0.60939997,-0.15120000,-0.60780001,-0.65539998,-0.55809999,-0.58910000,0.24590001,-0.62750000,-0.62959999,-0.19100000,-0.16940001,0.03210000,-0.03440000,0.01340000,-0.01660000,-0.07990000,-0.21240000,-0.06730000,0.04240000,-0.24010000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.13130659,0.02593832,0.01634155,0.00861358,0.01838703,-0.99979383,0.00000000,0.00000000,0.00000000,0.00730000,0.00300000,-0.09469999,-0.01430000,-0.01730000,-0.15600000,0.33719999,0.33809996,0.17320000,-0.00700000,0.12550001,-0.02380000,-0.03530000,-0.01920000,0.00760000,-0.06460001,0.00000000,-0.00050000,-0.01360000,-0.01720000,-0.02840000,-0.00370000,0.01280000,-0.62669998,-0.08150000,0.55220002,-0.62849998,0.30039999,-0.62339997,-0.62290001,-0.62819999,-0.40079999,0.03110000,-0.62730002,-0.62830001,0.58690000,-0.21430001,-0.16869999,0.61489999,0.35630000,0.19859999,-0.62830001,-0.28889999,0.24450000,0.05660000,0.31040001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.31466264,0.14637974,-0.04834645,0.00563964,0.02257150,-0.99972934,0.00000000,0.00000000,0.00000000,-0.00450000,0.00030000,-0.08310001,-0.02540001,-0.01210000,-0.15879999,0.32679999,0.32709998,0.16740000,-0.00580000,0.10810000,-0.02030000,-0.02380000,-0.02210000,0.00410000,-0.05310000,0.00610000,0.00330000,-0.02160000,-0.02080000,-0.02400000,-0.00300000,0.01850000,-0.65579998,-0.06470000,0.57749999,-0.63139999,0.07090000,0.62650001,-0.64950001,-0.52929997,-0.03890000,-0.01330000,-0.66180003,0.67040002,0.56910002,-0.01590000,-0.20850000,0.55580002,0.15160000,0.21550000,-0.39649999,-0.30419999,0.22050001,0.02630000,-0.10350000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.27895576,0.07691275,0.02438878,0.00251502,0.02929804,-0.99956757,0.00000000,0.00000000,0.00000000,-0.01650000,0.00080000,-0.07240000,-0.03130000,-0.01290000,-0.14700000,0.31709999,0.31599998,0.16280000,-0.00410000,0.09670000,-0.00310000,-0.01250000,-0.02210000,0.00060000,-0.04180000,0.00889999,0.00660000,-0.02870000,-0.02570000,-0.01890000,-0.00280000,0.01920000,-0.64569998,0.05680000,0.27790001,0.63590002,-0.10360000,0.46660000,-0.49759999,-0.62239999,-0.59649998,0.15629999,-0.31770000,0.65170002,0.43200001,0.00950000,-0.07970000,0.38200000,0.15549999,0.02350000,-0.15240000,-0.03120000,0.26220000,-0.02370000,0.28169999,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.27640456,0.00587300,-0.08875289,0.00142155,0.03105283,-0.99951673,0.00000000,0.00000000,0.00000000,-0.02840000,0.00150000,-0.07580000,-0.01920000,-0.01710000,-0.14659999,0.31419998,0.30519998,0.15970001,-0.00270000,0.08810000,0.01390000,-0.00540000,-0.02249999,-0.00090000,-0.03740000,0.01210001,0.00700000,-0.03090000,-0.02620000,-0.01530000,-0.00330000,0.02670000,-0.56770003,-0.04190000,-0.32020000,0.63180000,-0.16040000,-0.26370001,-0.35110000,-0.59630001,-0.64829999,0.05290000,-0.60189998,0.60420001,0.34380001,-0.06440000,-0.07390000,0.11950000,0.20819999,0.02120000,-0.10230000,-0.04840000,0.10810000,-0.02710000,0.44690001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.38818046,-0.00496366,-0.20720205,0.00052179,0.02441552,-0.99970180,0.00000000,0.00000000,0.00000000,-0.03400000,0.00060000,-0.08840001,-0.01540000,-0.01990000,-0.15920000,0.31809998,0.30519998,0.15950000,-0.00200000,0.08160000,0.02220000,0.00170000,-0.02350000,-0.00060000,-0.03550000,0.01519999,0.00540000,-0.03080000,-0.02600000,-0.01650000,-0.00320000,0.02920000,0.62860000,-0.05600000,-0.60149997,-0.62629998,-0.05740000,-0.62959999,0.21240000,0.31770000,-0.27230000,0.03690000,0.01890000,0.01480000,0.31740001,-0.04130000,0.05410000,0.15960000,0.10900000,-0.14900000,0.19380000,0.08720000,-0.17290001,0.01790000,-0.52819997,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.22599719,0.05564945,0.05491604,-0.00047993,0.01863413,-0.99982625,0.00000000,0.00000000,0.00000000,-0.02230000,-0.00130000,-0.10079999,-0.02760001,-0.01950000,-0.17189999,0.32599998,0.31809998,0.15830000,-0.00200000,0.08640000,0.02280000,0.00700000,-0.02519999,0.00030000,-0.02940000,0.01670000,0.00250000,-0.02630000,-0.02310000,-0.02070000,-0.00340000,0.01740000,0.64109999,-0.14460000,-0.59160000,-0.60130000,0.06420000,-0.63319999,0.22730000,0.61799997,-0.36039999,-0.00810000,0.28430000,0.01780000,0.20290001,-0.08400000,0.04340000,0.35720000,0.05190000,-0.13560000,0.16740000,0.17560001,-0.07500000,0.01190000,-0.54210001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.20013420,0.04835335,0.16398944,-0.00157205,0.01430958,-0.99989641,0.00000000,0.00000000,0.00000000,-0.01610000,-0.00180000,-0.11360000,-0.03700000,-0.02000000,-0.18440001,0.33809996,0.33190000,0.16339999,-0.00120000,0.09020001,0.02360000,0.01120000,-0.02590001,0.00070000,-0.02250000,0.01550001,0.00040000,-0.02330000,-0.01810000,-0.02430000,-0.00330000,0.01140000,-0.61720002,-0.05380000,-0.63059998,-0.12220000,0.01140000,-0.59320003,0.61549997,0.61150002,-0.06110000,0.11560000,-0.18400000,0.05750000,0.27200001,-0.04150000,0.01150000,0.26769999,-0.07910000,-0.06610000,0.12330000,0.32359999,-0.18080001,-0.00990000,-0.03440000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-0.14812610,0.02174399,0.04394267,-0.00224663,0.01140229,-0.99993247,0.00000000,0.00000000,0.00000000,-0.02330000,-0.00380000,-0.12620001,-0.04130000,-0.02000000,-0.19680001,0.35109997,0.34560001,0.16510001,-0.00300000,0.08910000,0.02370000,0.01700000,-0.02660000,0.00110000,-0.01870000,0.01289999,-0.00090000,-0.02060000,-0.01220000,-0.02690000,-0.00350000,0.00920000,-0.63010001,-0.17270000,-0.63010001,-0.38900000,-0.00070000,-0.59609997,0.58440000,0.63180000,-0.10350000,-0.08030000,0.06870000,0.03940000,0.31510001,-0.01520000,0.03250000,0.09940000,-0.14320000,-0.05560000,0.14470001,0.26670000,-0.14940000,-0.02250000,-0.09200000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
